"","Acronym","Meaning","Definition"
"1","AA","Annual Allocation",NA
"2","AAC","Alaska Administrative Code",NA
"3","ABC","Acceptable Biological Catch","A scientific calculation of the annual catch level recommended by a Council's SSC and is used to set the upper limit of the annual total allowable catch. It is calculated by applying the estimated (or proxy) harvest rate that produces maximum sustainable yield to the estimated exploitable stock biomass (the portion of the fish population that can be harvested)."
"4","ABM","Abundance-Based Management",NA
"5","ACCSP","Atlantic Coastal Cooperative Statistics Program","A cooperative state- federal program to design, implement, and conduct marine fisheries statistics data collection programs and to integrate those data into a single data management system that will meet the needs of fishery managers, scientists, and fishermen."
"6","ACE","Annual Catch Entitlement",NA
"7","ACFCMA","Atlantic Coastal Fisheries Cooperative Management Act","Federal legislation, passed in December 1993 that provides a mechanism to ensure Atlantic coastal state compliance with mandated conservation measures in Commission-approved fishery management plans."
"8","ACFHP","Atlantic Coastal Fish Habitat Partnership","A partnership of state, federal, local, and non-governmental entities aimed at protecting, restoring, and enhancing fish and aquatic communities along the Atlantic coast."
"9","ACL","Annual Catch Limits","The level of annual catch of a stock or stock complex that serves as the basis for invoking [accountability measures]. ACL cannot exceed the ABC, but may be divided into sector-ACLs."
"10","ACLG","Annual Catch Limit Working Group",NA
"11","ACT","Annual catch target","Set below the ACL at a level to ensure the ACL is not exceeded and to account for management uncertainty."
"12","ADCNR","Alabama Department of Conservation and Natural Resources","Alabama's state agency for the management and conservation of wildlife and aquatic resources."
"13","ADFG","Alaska Department of Fish and Game",NA
"14","ADP","Annual Deployment Plan",NA
"15","AEQ","Adult equivalent",NA
"16","AFA","American Fisheries Act",NA
"17","AFSC","Alaska Fisheries Science Center",NA
"18","AI","Aleutian Islands",NA
"19","AIS","Aquatic invasive species",NA
"20","AK BOF","Alaska Board of Fisheries",NA
"21","AKFIN","Alaska Fisheries Information Network",NA
"22","AKR","Alaska Region",NA
"23","AKRO","Alaska Regional Office",NA
"24","ALJ","Administrative Law Judge",NA
"25","ALK","Age-length-key",NA
"26","ALS","Accumulated Landings System ","Data system housed by the SEFSC includes all commercial fishery data from the SE region of the US, commercial landings information usually reported by dealers on ""trip tickets"" to state agencies that go to regional commission databases then to this system."
"27","AM","Accountability measure","Management controls to prevent annual catch limits from being exceeded and to correct or mitigate overages of the annual catch limit if they occur."
"28","AMP","Adaptive Management Program",NA
"29","ANILCA","Alaska National Interest Lands Conservation Act",NA
"30","AOP","Assessment Oversight Panel",NA
"31","AP","Advisory Panel","A group of stakeholders with experience and knowledge of the regional fisheries who provide input into the management process."
"32","APA","Administrative Procedure Act","The governing process by which federal agencies develop and issue regulations. This process includes publishing in the Federal Register and the ability for the public to comment on proposed regulations."
"33","APAIS","Access Point Angler Intercept Survey","The dockside intercept portion of the federal recreational angler survey commonly known as MRIP."
"34","AR","Autoregressive","An autoregressive model specifies that the output variable depends linearly on its own previous value(s) and a stochastic term."
"35","ARM","Adaptive Resource Management Framework","A mechanism, established through Addendum VII to the Horseshoe Crab FMP, which incorporates both shorebird and horseshoe crab abundance levels to set optimized harvest levels for horseshoe crabs of Delaware Bay origin."
"36","AS","American Samoa","Includes the islands of Tutuila, Manua, Rose and Swains Atolls."
"37","ASAP","Age-structured assessment program","An age-structured stock assessment model that uses various components to estimate population sizes based on observed catches, catch-at-age and indices of abundance."
"38","ASC","Assessment Science Committee","An ASMFC committee that coordinates the scheduling of species-specific stock assessments and assists the ISFMP Policy Board in setting priorities and timelines in relation to current workloads."
"39","ASG","American Samoa Government",NA
"40","ASMFC","Atlantic States Marine Fisheries Commission","An interstate compact of the 15 Atlantic coastal states with the vision of ""Sustainably managing Atlantic Coastal Fisheries""."
"41","ATM","Acoustic trawl method",NA
"42","AVHRR","Advanced Very High Resolution Radiometer",NA
"43","B","Biomass","The total weight or volume of a stock of fish; often used in conjunction with other management acronyms such as MSY."
"44","Bmax","#VALUE!","#VALUE!."
"45","Bmsy","Biomass at Max Sustainable Yield","Stock biomass level capable of producing an equilibrium yield at maximum sustainable yield."
"46","B-OY","Biomass at optimum yield",NA
"47","B1","Fish Filleted or Used for Bait but Identified by Interviewer",NA
"48","B2","Fish Identified but Released Alive",NA
"49","B25%","25% of unfished biomass (size of fish stock without fishing)","For groundfish, this is the threshold for being designated as overfished."
"50","B40%","40% of unfished biomass (size of fish stock without fishing)","This is the Council's threshold for declaring a stock rebuilt, or the size of the stock estimated to produce maximum sustainable yield. This is also referred to as BMSY."
"51","BA","Biological assessment","An assessment conducted as part of the Endangered Species Act process."
"52","BAM","Beaufort Assessment Model","Stock assessment model for South Atlantic."
"53","BASIS","Bering Sea-Aleutian Salmon International Survey",NA
"54","BB","Briefing Book","The group of materials, including documents and presentations, prepared in advance of a Council meeting to provide background information on topics that will be discussed during the meeting."
"55","BBRKC","Bristol Bay Red King Crab",NA
"56","BC","Budget Committee",NA
"57","Bcurrent","Current Biomass of Stock",NA
"58","BDCP","Bay Delta Conservation Plan",NA
"59","BEG","Biological escapement goal",NA
"60","BET","Bigeye Tuna",NA
"61","Bflag","Warning Reference Point","Set equal to BMSY."
"62","BKC","Blue King Crab",NA
"63","BLM","Bureau of Land Management","Administers 261 million acres of public lands, mainly in the West."
"64","BM","Base model","The assessment model used to perform an assessment of a stock to determine status and appropriate management measures; remains consistent with previous models used in SEDAR assessments; other supplemental analyses and models are often used in conjunction with the base model."
"65","BOEM","Bureau of Ocean Energy Management",NA
"66","BOF","Board of Fish",NA
"67","BOR","US Bureau of Reclamation","Responsible for managing water distribution in the West."
"68","BPA","Bonneville Power Administration","BPA markets electricity from 31 federally-owned dams in the Columbia River basin."
"69","BRD","Bycatch reduction device","A piece of equipment designed with the specific purpose of minimizing unintended capture of non-target species."
"70","BRP","Biological reference point","A particular value of stock size, catch, fishing effort, or fishing mortality that may be used as a measure of stock status or management plan effectiveness. BRP's can be categorized as limits, targets, or thresholds depending on their intended use."
"71","BSAI","Bering Sea and Aleutian Islands",NA
"72","BSFRF","Bering Sea Fisheries Research Foundation",NA
"73","BSIA","Best Scientific Information Available",NA
"74","BSIERP","Bering Sea Integrated Ecosystem Research Program",NA
"75","BTS","Bottom trawl survey",NA
"76","BiOp","Biological opinion","A scientific assessment issued by various NOAA regional offices on a range of topics such as fisheries, dredging and offshore winds, these opinions essentially specify the conditions by which federal agencies must comply in order to minimize impacts from federal actions, usually for any actions that may affect ESA-listed species."
"77","B0",NA,"Unfished biomass; the estimated size of a fish stock in the absence of fishing."
"78","C","Catch",NA
"79","C&S","Ceremonial and subsistence","A harvest category specific to native American tribes."
"80","CAMS","Catch Accounting and Monitoring System",NA
"81","CAS","Catch Accounting System",NA
"82","CBNMS","Cordell Bank National Marine Sanctuary",NA
"83","CC","Connecticut",NA
"84","CCC","Council Coordination Committee","Committee made up of chairs, vice chairs, and regional directors of each regional fishery management council. The committee meets twice each year to discuss issues pertinent to all the councils."
"85","CCCT","Ad Hoc Climate and Communities Core Team",NA
"86","CCE","California Current Ecosystem",NA
"87","CCI","Climate and Commununities Initiative",NA
"88","CCIEA","California Current Integrated Ecosystem Assessment",NA
"89","CDF","Cumulative distribution function",NA
"90","CDFW","California Department of Fish and Wildlife (formerly CDFG, Fish and Game)",NA
"91","CDQ","Community Development Quota",NA
"92","CEA","Cumulative Effects Analysis",NA
"93","CEC","Community Engagement Committee",NA
"94","CEQ","Council on Environmental Quality","A division of the Executive Branch that coordinates federal environmental efforts and oversees NEPA implementation."
"95","CEQA","California Environmental Quality Act",NA
"96","CESS","Committee on Economics and Social Sciences","An ASMFC committee focusing on social and economic considerations in fisheries management."
"97","CFA","Community fishing association",NA
"98","CFDBS","Commercial Fisheries Data Base System",NA
"99","CFEAI","Commercial Fishing Economic Assessment Index",NA
"100","CFL","Coastal Fisheries Logbook",NA
"101","CFLP","Commercial Fisheries Logbook Program",NA
"102","CFMC","Caribbean Fishery Management Council","One of eight regional councils, responsible for managing fishery resources in the Caribbean Exclusive Economic Zone off Puerto Rico and the US Virgin Islands."
"103","CFR","Code of Federal Regulations","A codification of the regulations published in the Federal Register by the executive departments and agencies of the federal government. The CFR is divided into 50 titles that represent broad areas subject to federal regulation. Title 50 contains wildlife and fisheries regulations."
"104","CGOA","Central Gulf of Alaska",NA
"105","CH","Critical Habitat",NA
"106","CHAPC","Coral Habitat Area of Particular Concern",NA
"107","CHTS","Coastal Household Telephone Survey","Survey used to collect recreational fishing effort information through random-digit dialing of residential households. Replaced by the FES survey in 2018."
"108","CI","Confidence interval","Upper and lower limits that bound a plausible range of values or a specified probability that a parameter value lies within this range."
"109","CIE","Center for Independent Experts",NA
"110","CINMS","Channel Islands National Marine Sanctuary","A 1,252-square-nautical-mile area of the Santa Barbara Channel designated as a marine sanctuary in 1980. It encompasses an area out to six nautical miles around the islands of San Miguel, Santa Rosa, Santa Cruz, Anacapa, and Santa Barbara. CINMS is one of 13 National Marine Sanctuaries around the country."
"111","CITES","Convention of International Trade in Endangered Species",NA
"112","CJFAS","Canadian Journal of Fisheries and Aquatic Sciences",NA
"113","CLF","Conservation Law Foundation",NA
"114","CLM","Commercial landings monitoring",NA
"115","CM","Continuity model",NA
"116","CML","Commercial Marine License data",NA
"117","CMM","Conservation and Management Measures",NA
"118","CMP","Coastal migratory pelagics",NA
"119","CNMI","Commonwealth of the Northern Mariana Islands","Includes the islands of Saipan, Tinian, Rota, and many others in the Marianas Archipelago."
"120","CO2","Carbon Dioxide",NA
"121","COAR","Commercial Operators Annual Report",NA
"122","COBLZ","C. opilio Bycatch Limitation Zone",NA
"123","ACOE","(US Army) Corps of Engineers","Among other things, the COE manages hydropower facilities, conducts dredging operations, and builds breakwaters and jetties."
"124","COI","Certificate of inspection",NA
"125","COP","Council Operating Procedures",NA
"126","CP","Catcher/processor",NA
"127","CPC","Climate Prediction Center, NOAA",NA
"128","CPDF","Catch-Per-Day-Fished",NA
"129","CPFV","Commercial passenger fishing vessel","(Charter boat)."
"130","CPI","Consumer Price Index",NA
"131","CPS","Coastal pelagic species","Coastal pelagic species are schooling fish, not associated with the ocean bottom, that migrate in coastal waters. They usually eat plankton and are the main food source for higher level predators such as tuna, salmon, most groundfish, and humans. Examples are herring, squid, anchovy, sardine, and mackerel."
"132","CPSAS","Coastal Pelagic Species Advisory Subpanel",NA
